Index,FirstBlock,StateAfterFirst,SecondBlock,StateAfterSecond,Codeword
0,111,111,101,1,111101
1,011,11,100,00,011100
2,001,1,011,11,001011
3,010,0,000,0000,010000
4,000,000,101,1,000101
5,101,1,101,1,101101
6,101,1,010,0,101010
7,101,1,011,11,101011
8,001,1,110,0,001110
9,110,0,110,0,110110
10,111,111,001,1,111001
11,100,00,010,0,100010
12,100,00,111,111,100111
13,000,000,110,0,000110
14,001,1,101,1,001101
15,011,11,101,1,011101
16,000,000,010,0,000010
17,010,0,100,00,010100
18,011,11,010,0,011010
19,001,1,010,0,001010
20,011,11,000,000,011000
21,110,0,101,1,110101
22,111,111,000,000,111000
23,100,00,110,0,100110
24,110,0,001,1,110001
25,100,00,101,1,100101
26,110,0,111,111,110111
27,011,11,011,11,011011
28,101,1,000,000,101000
29,111,111,010,0,111010
30,010,0,110,0,010110
31,101,1,100,00,101100
