Index,Message,Codeword
0,00000,000010
1,00001,000011
2,00010,000100
3,00011,000101
4,00100,000110
5,00101,000111
6,00110,001000
7,00111,001001
8,01000,001010
9,01001,001011
10,01010,001100
11,01011,001101
12,01100,001110
13,01101,001111
14,01110,010000
15,01111,010001
16,10000,010010
17,10001,010011
18,10010,010100
19,10011,010101
20,10100,010110
21,10101,010111
22,10110,011000
23,10111,011001
24,11000,011010
25,11001,011011
26,11010,011100
27,11011,011101
28,11100,011110
29,11101,100001
30,11110,100010
31,11111,100011
