Index,FirstBlock,StateAfterFirst,SecondBlock,StateAfterSecond,Codeword
0,000,000,0100,00,0000100
1,000,000,0101,1,0000101
2,000,000,0110,0,0000110
3,000,000,0111,111,0000111
4,000,000,1000,000,0001000
5,000,000,1001,1,0001001
6,000,000,1010,0,0001010
7,000,000,1011,11,0001011
8,000,000,1100,00,0001100
9,000,000,1101,1,0001101
10,000,000,1110,0,0001110
11,000,000,1111,1111,0001111
12,001,1,0000,0000,0010000
13,001,1,0001,1,0010001
14,001,1,0010,0,0010010
15,001,1,0011,11,0010011
16,001,1,0100,00,0010100
17,001,1,0101,1,0010101
18,001,1,0110,0,0010110
19,001,1,0111,111,0010111
20,001,1,1000,000,0011000
21,001,1,1001,1,0011001
22,001,1,1010,0,0011010
23,001,1,1011,11,0011011
24,001,1,1100,00,0011100
25,001,1,1101,1,0011101
26,001,1,1110,0,0011110
27,010,0,0001,1,0100001
28,010,0,0010,0,0100010
29,010,0,0011,11,0100011
30,010,0,0100,00,0100100
31,010,0,0101,1,0100101
32,010,0,0110,0,0100110
33,010,0,0111,111,0100111
34,010,0,1000,000,0101000
35,010,0,1001,1,0101001
36,010,0,1010,0,0101010
37,010,0,1011,11,0101011
38,010,0,1100,00,0101100
39,010,0,1101,1,0101101
40,010,0,1110,0,0101110
41,010,0,1111,1111,0101111
42,011,11,0000,0000,0110000
43,011,11,0001,1,0110001
44,011,11,0010,0,0110010
45,011,11,0011,11,0110011
46,011,11,0100,00,0110100
47,011,11,0101,1,0110101
48,011,11,0110,0,0110110
49,011,11,0111,111,0110111
50,011,11,1000,000,0111000
51,011,11,1001,1,0111001
52,011,11,1010,0,0111010
53,011,11,1011,11,0111011
54,011,11,1100,00,0111100
55,011,11,1101,1,0111101
56,100,00,0010,0,1000010
57,100,00,0011,11,1000011
58,100,00,0100,00,1000100
59,100,00,0101,1,1000101
60,100,00,0110,0,1000110
61,100,00,0111,111,1000111
62,100,00,1000,000,1001000
63,100,00,1001,1,1001001
64,100,00,1010,0,1001010
65,100,00,1011,11,1001011
66,100,00,1100,00,1001100
67,100,00,1101,1,1001101
68,100,00,1110,0,1001110
69,100,00,1111,1111,1001111
70,101,1,0000,0000,1010000
71,101,1,0001,1,1010001
72,101,1,0010,0,1010010
73,101,1,0011,11,1010011
74,101,1,0100,00,1010100
75,101,1,0101,1,1010101
76,101,1,0110,0,1010110
77,101,1,0111,111,1010111
78,101,1,1000,000,1011000
79,101,1,1001,1,1011001
80,101,1,1010,0,1011010
81,101,1,1011,11,1011011
82,101,1,1100,00,1011100
83,101,1,1101,1,1011101
84,101,1,1110,0,1011110
85,110,0,0001,1,1100001
86,110,0,0010,0,1100010
87,110,0,0011,11,1100011
88,110,0,0100,00,1100100
89,110,0,0101,1,1100101
90,110,0,0110,0,1100110
91,110,0,0111,111,1100111
92,110,0,1000,000,1101000
93,110,0,1001,1,1101001
94,110,0,1010,0,1101010
95,110,0,1011,11,1101011
96,110,0,1100,00,1101100
97,110,0,1101,1,1101101
98,110,0,1110,0,1101110
99,110,0,1111,1111,1101111
100,111,111,0000,0000,1110000
101,111,111,0001,1,1110001
102,111,111,0010,0,1110010
103,111,111,0011,11,1110011
104,111,111,0100,00,1110100
105,111,111,0101,1,1110101
106,111,111,0110,0,1110110
107,111,111,0111,111,1110111
108,111,111,1000,000,1111000
109,111,111,1001,1,1111001
110,111,111,1010,0,1111010
111,111,111,1011,11,1111011
