Index,Message,Codeword
0,000000,0010000
1,000001,0011010
2,000010,1110010
3,000011,0010110
4,000100,0100111
5,000101,1100110
6,000110,0101000
7,000111,0000111
8,001000,0101001
9,001001,1011010
10,001010,0110100
11,001011,1110101
12,001100,1011101
13,001101,1010100
14,001110,1010110
15,001111,0100101
16,010000,1010001
17,010001,1010011
18,010010,0101101
19,010011,1111001
20,010100,0011110
21,010101,1011001
22,010110,0110001
23,010111,0011101
24,011000,0010101
25,011001,1010010
26,011010,0111011
27,011011,1001100
28,011100,0110011
29,011101,0100110
30,011110,0001101
31,011111,0001000
32,100000,1111010
33,100001,1011011
34,100010,1000111
35,100011,1100010
36,100100,1110110
37,100101,0101010
38,100110,1010111
39,100111,1110111
40,101000,0111101
41,101001,1001101
42,101010,1000101
43,101011,0101100
44,101100,1100011
45,101101,0011100
46,101110,1011100
47,101111,0101011
48,110000,0011011
49,110001,1011000
50,110010,0000101
51,110011,0000110
52,110100,0100011
53,110101,0001011
54,110110,1111011
55,110111,0001001
56,111000,1101100
57,111001,0010100
58,111010,1100111
59,111011,0101110
60,111100,1010000
61,111101,0100010
62,111110,0111000
63,111111,0110110
