Index,Message,Codeword
208,011010000,000000111010100
209,011010001,000000111010101
210,011010010,000000111010110
211,011010011,000000111010111
212,011010100,000000111011000
213,011010101,000000111011001
214,011010110,000000111011010
215,011010111,000000111011011
216,011011000,000000111011100
217,011011001,000000111011101
218,011011010,000000111011110
219,011011011,000000111011111
220,011011100,000000111100000
221,011011101,000000111100001
222,011011110,000000111100010
223,011011111,000000111100011
224,011100000,000000111100100
225,011100001,000000111100101
226,011100010,000000111100110
227,011100011,000000111100111
228,011100100,000000111101000
229,011100101,000000111101001
230,011100110,000000111101010
231,011100111,000000111101011
232,011101000,000000111101100
233,011101001,000000111101101
234,011101010,000000111101110
235,011101011,000000111101111
236,011101100,000000111110000
237,011101101,000000111110001
238,011101110,000000111110010
239,011101111,000000111110011
240,011110000,000000111110100
241,011110001,000000111110101
242,011110010,000000111110110
243,011110011,000000111110111
244,011110100,000000111111000
245,011110101,000000111111001
246,011110110,000000111111010
247,011110111,000000111111011
248,011111000,000001000000100
249,011111001,000001000000101
250,011111010,000001000000110
251,011111011,000001000000111
252,011111100,000001000001000
253,011111101,000001000001001
254,011111110,000001000001010
255,011111111,000001000001011
256,100000000,000001000001100
257,100000001,000001000001101
258,100000010,000001000001110
259,100000011,000001000001111
260,100000100,000001000010000
261,100000101,000001000010001
262,100000110,000001000010010
263,100000111,000001000010011
264,100001000,000001000010100
265,100001001,000001000010101
266,100001010,000001000010110
267,100001011,000001000010111
268,100001100,000001000011000
269,100001101,000001000011001
270,100001110,000001000011010
271,100001111,000001000011011
272,100010000,000001000011100
273,100010001,000001000011101
274,100010010,000001000011110
275,100010011,000001000011111
276,100010100,000001000100000
277,100010101,000001000100001
278,100010110,000001000100010
279,100010111,000001000100011
280,100011000,000001000100100
281,100011001,000001000100101
282,100011010,000001000100110
283,100011011,000001000100111
284,100011100,000001000101000
285,100011101,000001000101001
286,100011110,000001000101010
287,100011111,000001000101011
288,100100000,000001000101100
289,100100001,000001000101101
290,100100010,000001000101110
291,100100011,000001000101111
292,100100100,000001000110000
293,100100101,000001000110001
294,100100110,000001000110010
295,100100111,000001000110011
296,100101000,000001000110100
297,100101001,000001000110101
298,100101010,000001000110110
299,100101011,000001000110111
300,100101100,000001000111000
301,100101101,000001000111001
302,100101110,000001000111010
303,100101111,000001000111011
304,100110000,000001000111100
305,100110001,000001000111101
306,100110010,000001000111110
307,100110011,000001000111111
308,100110100,000001001000000
309,100110101,000001001000001
310,100110110,000001001000010
311,100110111,000001001000011
312,100111000,000001001000100
313,100111001,000001001000101
314,100111010,000001001000110
315,100111011,000001001000111
316,100111100,000001001001000
317,100111101,000001001001001
318,100111110,000001001001010
319,100111111,000001001001011
320,101000000,000001001001100
321,101000001,000001001001101
322,101000010,000001001001110
323,101000011,000001001001111
324,101000100,000001001010000
325,101000101,000001001010001
326,101000110,000001001010010
327,101000111,000001001010011
328,101001000,000001001010100
329,101001001,000001001010101
330,101001010,000001001010110
331,101001011,000001001010111
332,101001100,000001001011000
333,101001101,000001001011001
334,101001110,000001001011010
335,101001111,000001001011011
336,101010000,000001001011100
337,101010001,000001001011101
338,101010010,000001001011110
339,101010011,000001001011111
340,101010100,000001001100000
341,101010101,000001001100001
342,101010110,000001001100010
343,101010111,000001001100011
344,101011000,000001001100100
345,101011001,000001001100101
346,101011010,000001001100110
347,101011011,000001001100111
348,101011100,000001001101000
349,101011101,000001001101001
350,101011110,000001001101010
351,101011111,000001001101011
352,101100000,000001001101100
353,101100001,000001001101101
354,101100010,000001001101110
355,101100011,000001001101111
356,101100100,000001001110000
357,101100101,000001001110001
358,101100110,000001001110010
359,101100111,000001001110011
360,101101000,000001001110100
361,101101001,000001001110101
362,101101010,000001001110110
363,101101011,000001001110111
364,101101100,000001001111000
365,101101101,000001001111001
366,101101110,000001001111010
367,101101111,000001001111011
368,101110000,000001001111100
369,101110001,000001001111101
370,101110010,000001001111110
371,101110011,000001010000001
372,101110100,000001010000010
373,101110101,000001010000011
374,101110110,000001010000100
375,101110111,000001010000101
376,101111000,000001010000110
377,101111001,000001010000111
378,101111010,000001010001000
379,101111011,000001010001001
380,101111100,000001010001010
381,101111101,000001010001011
382,101111110,000001010001100
383,101111111,000001010001101
384,110000000,000001010001110
385,110000001,000001010001111
386,110000010,000001010010000
387,110000011,000001010010001
388,110000100,000001010010010
389,110000101,000001010010011
390,110000110,000001010010100
391,110000111,000001010010101
392,110001000,000001010010110
393,110001001,000001010010111
394,110001010,000001010011000
395,110001011,000001010011001
396,110001100,000001010011010
397,110001101,000001010011011
398,110001110,000001010011100
399,110001111,000001010011101
400,110010000,000001010011110
401,110010001,000001010011111
402,110010010,000001010100000
403,110010011,000001010100001
404,110010100,000001010100010
405,110010101,000001010100011
406,110010110,000001010100100
407,110010111,000001010100101
408,110011000,000001010100110
409,110011001,000001010100111
410,110011010,000001010101000
411,110011011,000001010101001
412,110011100,000001010101010
413,110011101,000001010101011
414,110011110,000001010101100
415,110011111,000001010101101
416,110100000,000001010101110
417,110100001,000001010101111
418,110100010,000001010110000
419,110100011,000001010110001
420,110100100,000001010110010
421,110100101,000001010110011
422,110100110,000001010110100
423,110100111,000001010110101
424,110101000,000001010110110
425,110101001,000001010110111
426,110101010,000001010111000
427,110101011,000001010111001
428,110101100,000001010111010
429,110101101,000001010111011
430,110101110,000001010111100
431,110101111,000001010111101
432,110110000,000001010111110
433,110110001,000001010111111
434,110110010,000001011000000
435,110110011,000001011000001
436,110110100,000001011000010
437,110110101,000001011000011
438,110110110,000001011000100
439,110110111,000001011000101
440,110111000,000001011000110
441,110111001,000001011000111
442,110111010,000001011001000
443,110111011,000001011001001
444,110111100,000001011001010
445,110111101,000001011001011
446,110111110,000001011001100
447,110111111,000001011001101
448,111000000,000001011001110
449,111000001,000001011001111
450,111000010,000001011010000
451,111000011,000001011010001
452,111000100,000001011010010
453,111000101,000001011010011
454,111000110,000001011010100
455,111000111,000001011010101
456,111001000,000001011010110
457,111001001,000001011010111
458,111001010,000001011011000
459,111001011,000001011011001
460,111001100,000001011011010
461,111001101,000001011011011
462,111001110,000001011011100
463,111001111,000001011011101
464,111010000,000001011011110
465,111010001,000001011011111
466,111010010,000001011100000
467,111010011,000001011100001
468,111010100,000001011100010
469,111010101,000001011100011
470,111010110,000001011100100
471,111010111,000001011100101
472,111011000,000001011100110
473,111011001,000001011100111
474,111011010,000001011101000
475,111011011,000001011101001
476,111011100,000001011101010
477,111011101,000001011101011
478,111011110,000001011101100
479,111011111,000001011101101
480,111100000,000001011101110
481,111100001,000001011101111
482,111100010,000001011110000
483,111100011,000001011110001
484,111100100,000001011110010
485,111100101,000001011110011
486,111100110,000001011110100
487,111100111,000001011110101
488,111101000,000001011110110
489,111101001,000001011110111
490,111101010,000001011111000
491,111101011,000001011111001
492,111101100,000001011111010
493,111101101,000001011111011
494,111101110,000001011111100
495,111101111,000001011111101
496,111110000,000001100000010
497,111110001,000001100000011
498,111110010,000001100000100
499,111110011,000001100000101
500,111110100,000001100000110
501,111110101,000001100000111
502,111110110,000001100001000
503,111110111,000001100001001
504,111111000,000001100001010
505,111111001,000001100001011
506,111111010,000001100001100
507,111111011,000001100001101
508,111111100,000001100001110
509,111111101,000001100001111
510,111111110,000001100010000
511,111111111,000001100010001
