Index,Message,Codeword
0,000000000,000000100000010
1,000000001,000000100000011
2,000000010,000000100000100
3,000000011,000000100000101
4,000000100,000000100000110
5,000000101,000000100000111
6,000000110,000000100001000
7,000000111,000000100001001
8,000001000,000000100001010
9,000001001,000000100001011
10,000001010,000000100001100
11,000001011,000000100001101
12,000001100,000000100001110
13,000001101,000000100001111
14,000001110,000000100010000
15,000001111,000000100010001
16,000010000,000000100010010
17,000010001,000000100010011
18,000010010,000000100010100
19,000010011,000000100010101
20,000010100,000000100010110
21,000010101,000000100010111
22,000010110,000000100011000
23,000010111,000000100011001
24,000011000,000000100011010
25,000011001,000000100011011
26,000011010,000000100011100
27,000011011,000000100011101
28,000011100,000000100011110
29,000011101,000000100011111
30,000011110,000000100100000
31,000011111,000000100100001
32,000100000,000000100100010
33,000100001,000000100100011
34,000100010,000000100100100
35,000100011,000000100100101
36,000100100,000000100100110
37,000100101,000000100100111
38,000100110,000000100101000
39,000100111,000000100101001
40,000101000,000000100101010
41,000101001,000000100101011
42,000101010,000000100101100
43,000101011,000000100101101
44,000101100,000000100101110
45,000101101,000000100101111
46,000101110,000000100110000
47,000101111,000000100110001
48,000110000,000000100110010
49,000110001,000000100110011
50,000110010,000000100110100
51,000110011,000000100110101
52,000110100,000000100110110
53,000110101,000000100110111
54,000110110,000000100111000
55,000110111,000000100111001
56,000111000,000000100111010
57,000111001,000000100111011
58,000111010,000000100111100
59,000111011,000000100111101
60,000111100,000000100111110
61,000111101,000000100111111
62,000111110,000000101000000
63,000111111,000000101000001
64,001000000,000000101000010
65,001000001,000000101000011
66,001000010,000000101000100
67,001000011,000000101000101
68,001000100,000000101000110
69,001000101,000000101000111
70,001000110,000000101001000
71,001000111,000000101001001
72,001001000,000000101001010
73,001001001,000000101001011
74,001001010,000000101001100
75,001001011,000000101001101
76,001001100,000000101001110
77,001001101,000000101001111
78,001001110,000000101010000
79,001001111,000000101010001
80,001010000,000000101010010
81,001010001,000000101010011
82,001010010,000000101010100
83,001010011,000000101010101
84,001010100,000000101010110
85,001010101,000000101010111
86,001010110,000000101011000
87,001010111,000000101011001
88,001011000,000000101011010
89,001011001,000000101011011
90,001011010,000000101011100
91,001011011,000000101011101
92,001011100,000000101011110
93,001011101,000000101011111
94,001011110,000000101100000
95,001011111,000000101100001
96,001100000,000000101100010
97,001100001,000000101100011
98,001100010,000000101100100
99,001100011,000000101100101
100,001100100,000000101100110
101,001100101,000000101100111
102,001100110,000000101101000
103,001100111,000000101101001
104,001101000,000000101101010
105,001101001,000000101101011
106,001101010,000000101101100
107,001101011,000000101101101
108,001101100,000000101101110
109,001101101,000000101101111
110,001101110,000000101110000
111,001101111,000000101110001
112,001110000,000000101110010
113,001110001,000000101110011
114,001110010,000000101110100
115,001110011,000000101110101
116,001110100,000000101110110
117,001110101,000000101110111
118,001110110,000000101111000
119,001110111,000000101111001
120,001111000,000000101111010
121,001111001,000000101111011
122,001111010,000000101111100
123,001111011,000000101111101
124,001111100,000000101111110
125,001111101,000000110000001
126,001111110,000000110000010
127,001111111,000000110000011
128,010000000,000000110000100
129,010000001,000000110000101
130,010000010,000000110000110
131,010000011,000000110000111
132,010000100,000000110001000
133,010000101,000000110001001
134,010000110,000000110001010
135,010000111,000000110001011
136,010001000,000000110001100
137,010001001,000000110001101
138,010001010,000000110001110
139,010001011,000000110001111
140,010001100,000000110010000
141,010001101,000000110010001
142,010001110,000000110010010
143,010001111,000000110010011
144,010010000,000000110010100
145,010010001,000000110010101
146,010010010,000000110010110
147,010010011,000000110010111
148,010010100,000000110011000
149,010010101,000000110011001
150,010010110,000000110011010
151,010010111,000000110011011
152,010011000,000000110011100
153,010011001,000000110011101
154,010011010,000000110011110
155,010011011,000000110011111
156,010011100,000000110100000
157,010011101,000000110100001
158,010011110,000000110100010
159,010011111,000000110100011
160,010100000,000000110100100
161,010100001,000000110100101
162,010100010,000000110100110
163,010100011,000000110100111
164,010100100,000000110101000
165,010100101,000000110101001
166,010100110,000000110101010
167,010100111,000000110101011
168,010101000,000000110101100
169,010101001,000000110101101
170,010101010,000000110101110
171,010101011,000000110101111
172,010101100,000000110110000
173,010101101,000000110110001
174,010101110,000000110110010
175,010101111,000000110110011
176,010110000,000000110110100
177,010110001,000000110110101
178,010110010,000000110110110
179,010110011,000000110110111
180,010110100,000000110111000
181,010110101,000000110111001
182,010110110,000000110111010
183,010110111,000000110111011
184,010111000,000000110111100
185,010111001,000000110111101
186,010111010,000000110111110
187,010111011,000000110111111
188,010111100,000000111000000
189,010111101,000000111000001
190,010111110,000000111000010
191,010111111,000000111000011
192,011000000,000000111000100
193,011000001,000000111000101
194,011000010,000000111000110
195,011000011,000000111000111
196,011000100,000000111001000
197,011000101,000000111001001
198,011000110,000000111001010
199,011000111,000000111001011
200,011001000,000000111001100
201,011001001,000000111001101
202,011001010,000000111001110
203,011001011,000000111001111
204,011001100,000000111010000
205,011001101,000000111010001
206,011001110,000000111010010
207,011001111,000000111010011
