Index,Message,Codeword
0,000000,0000100001000010
1,000001,0000100001000011
2,000010,0000100001000100
3,000011,0000100001000101
4,000100,0000100001000110
5,000101,0000100001000111
6,000110,0000100001001000
7,000111,0000100001001001
8,001000,0000100001001010
9,001001,0000100001001011
10,001010,0000100001001100
11,001011,0000100001001101
12,001100,0000100001001110
13,001101,0000100001001111
14,001110,0000100001010000
15,001111,0000100001010001
16,010000,0000100001010010
17,010001,0000100001010011
18,010010,0000100001010100
19,010011,0000100001010101
20,010100,0000100001010110
21,010101,0000100001010111
22,010110,0000100001011000
23,010111,0000100001011001
24,011000,0000100001011010
25,011001,0000100001011011
26,011010,0000100001011100
27,011011,0000100001011101
28,011100,0000100001011110
29,011101,0000100001100001
30,011110,0000100001100010
31,011111,0000100001100011
32,100000,0000100001100100
33,100001,0000100001100101
34,100010,0000100001100110
35,100011,0000100001100111
36,100100,0000100001101000
37,100101,0000100001101001
38,100110,0000100001101010
39,100111,0000100001101011
40,101000,0000100001101100
41,101001,0000100001101101
42,101010,0000100001101110
43,101011,0000100001101111
44,101100,0000100001110000
45,101101,0000100001110001
46,101110,0000100001110010
47,101111,0000100001110011
48,110000,0000100001110100
49,110001,0000100001110101
50,110010,0000100001110110
51,110011,0000100001110111
52,110100,0000100001111000
53,110101,0000100001111001
54,110110,0000100001111010
55,110111,0000100001111011
56,111000,0000100010000100
57,111001,0000100010000101
58,111010,0000100010000110
59,111011,0000100010000111
60,111100,0000100010001000
61,111101,0000100010001001
62,111110,0000100010001010
63,111111,0000100010001011
